trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'a': 0.7, 'e': 0.1757473014911758}",20,10,15.716752805592343,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.7, 'e': 0.173989828476264}",20,14,-1.0089502404103234,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 0.1722499301915014}",20,0,17.389535221793217,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
176,False,"{'a': 0.7, 'e': 0.17052743088958636}",20,0,-38.676113082165465,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
177,False,"{'a': 0.7, 'e': 0.1688221565806905}",20,13,3.2298667329021624,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.7, 'e': 0.1671339350148836}",35,15,-7.6663568594242975,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.7, 'e': 0.16546259566473476}",20,3,-3.8844758877670937,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.7, 'e': 0.16380796970808742}",20,8,-1.4251245030919983,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.7, 'e': 0.16216989001100654}",20,7,-31.441492170699803,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
182,False,"{'a': 0.7, 'e': 0.16054819111089647}",20,12,-5.319183402042099,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
